,illumina_probe_id
201,cg00095214
202,cg00095326
203,cg00095526
204,cg00095674
205,cg00096922
206,cg00097536
207,cg00098162
208,cg00098239
209,cg00099295
210,cg00099427
211,cg00100121
212,cg00101260
213,cg00101457
214,cg00101602
215,cg00102731
216,cg00103783
217,cg00105253
218,cg00105306
219,cg00105470
220,cg00106345
221,cg00106565
222,cg00107187
223,cg00107488
224,cg00107632
225,cg00108454
226,cg00108715
227,cg00110832
228,cg00111239
229,cg00112238
230,cg00112256
231,cg00112465
232,cg00112493
233,cg00112517
234,cg00113096
235,cg00113623
236,cg00113951
237,cg00114625
238,cg00114913
239,cg00115639
240,cg00116092
241,cg00116234
242,cg00116430
243,cg00116699
244,cg00116709
245,cg00116838
246,cg00117066
247,cg00117172
248,cg00118808
249,cg00118989
250,cg00119079
251,cg00120332
252,cg00121045
253,cg00121158
254,cg00121640
255,cg00122854
256,cg00122944
257,cg00123035
258,cg00123055
259,cg00123478
260,cg00124004
261,cg00124133
262,cg00124993
263,cg00125455
264,cg00126034
265,cg00127167
266,cg00128100
267,cg00128197
268,cg00128560
269,cg00128654
270,cg00128877
271,cg00129774
272,cg00129827
273,cg00130530
274,cg00131557
275,cg00132141
276,cg00133909
277,cg00134210
278,cg00134539
279,cg00134787
280,cg00135056
281,cg00135497
282,cg00135888
283,cg00136105
284,cg00136405
285,cg00136477
286,cg00136736
287,cg00138101
288,cg00138126
289,cg00139242
290,cg00139317
291,cg00139681
292,cg00139947
293,cg00140189
294,cg00141162
295,cg00142402
296,cg00142683
297,cg00143376
298,cg00143527
299,cg00143809
300,cg00143998
301,cg00144180
302,cg00145141
303,cg00145253
304,cg00145348
305,cg00146027
306,cg00146096
307,cg00146864
308,cg00148223
309,cg00149659
310,cg00149976
311,cg00151234
312,cg00151370
313,cg00151607
314,cg00151728
315,cg00152008
316,cg00152041
317,cg00152340
318,cg00152644
319,cg00153101
320,cg00153306
321,cg00153395
322,cg00154119
323,cg00155167
324,cg00155310
325,cg00155485
326,cg00155609
327,cg00156216
328,cg00156744
329,cg00156995
330,cg00157796
331,cg00158122
332,cg00158308
333,cg00158333
334,cg00158770
335,cg00159243
336,cg00159523
337,cg00160262
338,cg00160914
339,cg00161791
340,cg00162064
341,cg00162401
342,cg00162643
343,cg00162806
344,cg00163372
345,cg00164898
346,cg00166216
347,cg00167158
348,cg00167275
349,cg00167504
350,cg00168082
351,cg00168694
352,cg00168785
353,cg00168942
354,cg00169122
355,cg00170483
356,cg00170487
357,cg00171092
358,cg00171126
359,cg00171161
360,cg00172597
361,cg00172849
362,cg00174179
363,cg00174500
364,cg00174573
365,cg00174901
366,cg00175403
367,cg00175838
368,cg00176210
369,cg00176879
370,cg00177013
371,cg00177243
372,cg00177388
373,cg00177698
374,cg00177923
375,cg00178249
376,cg00178790
377,cg00179196
378,cg00179446
379,cg00179576
380,cg00179598
381,cg00179921
382,cg00180012
383,cg00183239
384,cg00183468
385,cg00183916
386,cg00184235
387,cg00184376
388,cg00184884
389,cg00184893
390,cg00185066
391,cg00185103
392,cg00185839
393,cg00186141
394,cg00186462
395,cg00186701
396,cg00186909
397,cg00186954
398,cg00187380
399,cg00187686
400,cg00188627
401,cg00191052
402,cg00191758
403,cg00192882
404,cg00192980
405,cg00193021
406,cg00193521
407,cg00193668
408,cg00194146
409,cg00195561
410,cg00196407
411,cg00197313
412,cg00197381
413,cg00197641
414,cg00199007
415,cg00199549
416,cg00200063
417,cg00200463
418,cg00201234
419,cg00202460
420,cg00202702
421,cg00203568
422,cg00204262
423,cg00204465
424,cg00204512
425,cg00204748
426,cg00205605
427,cg00206052
428,cg00207280
429,cg00207352
430,cg00207534
431,cg00207731
432,cg00208830
433,cg00208967
434,cg00209066
435,cg00209786
436,cg00210249
437,cg00210842
438,cg00211174
439,cg00211661
440,cg00212031
441,cg00212786
442,cg00213123
443,cg00213281
444,cg00213331
445,cg00213714
446,cg00213822
447,cg00213853
448,cg00214171
449,cg00214855
450,cg00215066
451,cg00216361
452,cg00216758
453,cg00216997
454,cg00217080
455,cg00217795
456,cg00218406
457,cg00218914
458,cg00219626
459,cg00219816
460,cg00220102
461,cg00220225
462,cg00220721
463,cg00221494
464,cg00221718
465,cg00222472
466,cg00222799
467,cg00223186
468,cg00223245
469,cg00223767
470,cg00223950
471,cg00224508
472,cg00226904
473,cg00227093
474,cg00228799
475,cg00229387
476,cg00230120
477,cg00230271
478,cg00230368
479,cg00230685
480,cg00231140
481,cg00231920
482,cg00231966
483,cg00232092
484,cg00233028
485,cg00233307
486,cg00233633
487,cg00234616
488,cg00236832
489,cg00237010
490,cg00237876
491,cg00238052
492,cg00238131
493,cg00239071
494,cg00239353
495,cg00239419
496,cg00239685
497,cg00240113
498,cg00240432
499,cg00240880
500,cg00241002
501,cg00241296
502,cg00241355
503,cg00242839
504,cg00243313
505,cg00244001
506,cg00245012
507,cg00245878
508,cg00246451
509,cg00246932
510,cg00246969
511,cg00247489
512,cg00247557
513,cg00247963
514,cg00249511
515,cg00250430
516,cg00250879
517,cg00252472
518,cg00252813
519,cg00253228
520,cg00253398
521,cg00253658
522,cg00253811
523,cg00254681
524,cg00255368
525,cg00255699
526,cg00255726
527,cg00256074
528,cg00256166
529,cg00256281
530,cg00256329
531,cg00256485
532,cg00257455
533,cg00257775
534,cg00258480
535,cg00259097
536,cg00259404
537,cg00260448
538,cg00260802
539,cg00260937
540,cg00261552
541,cg00261690
542,cg00261781
543,cg00262415
544,cg00262446
545,cg00264378
546,cg00264419
547,cg00265415
548,cg00265490
549,cg00265812
550,cg00267352
551,cg00268009
552,cg00268338
553,cg00268476
554,cg00268840
555,cg00269115
556,cg00269553
557,cg00271311
558,cg00273068
559,cg00273124
560,cg00274399
561,cg00274965
562,cg00275232
563,cg00275828
564,cg00276426
565,cg00276797
566,cg00277397
567,cg00277591
568,cg00278366
569,cg00278392
570,cg00280812
571,cg00282195
572,cg00282347
573,cg00282683
574,cg00282706
575,cg00283283
576,cg00283535
577,cg00285294
578,cg00285394
579,cg00286125
580,cg00286717
581,cg00287012
582,cg00288562
583,cg00288598
584,cg00290028
585,cg00290506
586,cg00290758
587,cg00291213
588,cg00291478
589,cg00291877
590,cg00292662
591,cg00292971
592,cg00293409
593,cg00293940
594,cg00294109
595,cg00294382
596,cg00295206
597,cg00295485
598,cg00295794
599,cg00297584
600,cg00297600
601,cg00298065
602,cg00298977
603,cg00300303
604,cg00301033
605,cg00301372
606,cg00301864
607,cg00302793
608,cg00303378
609,cg00303541
610,cg00303548
611,cg00303773
612,cg00305281
613,cg00306311
614,cg00307685
615,cg00308133
616,cg00308665
617,cg00308841
618,cg00309056
619,cg00310412
620,cg00310940
621,cg00311768
622,cg00311984
623,cg00312919
624,cg00313914
625,cg00314029
626,cg00314943
627,cg00315936
628,cg00317680
629,cg00317837
630,cg00318573
631,cg00318865
632,cg00319761
633,cg00320094
634,cg00320243
635,cg00320288
636,cg00321065
637,cg00321234
638,cg00321478
639,cg00321480
640,cg00323915
641,cg00324097
642,cg00324733
643,cg00325491
644,cg00325531
645,cg00326719
646,cg00326958
647,cg00327072
648,cg00327185
649,cg00327483
650,cg00327947
651,cg00328227
652,cg00328965
653,cg00329270
654,cg00329411
655,cg00329447
656,cg00329615
657,cg00329618
658,cg00330492
659,cg00331237
660,cg00332153
661,cg00332745
662,cg00333226
663,cg00333528
664,cg00334063
665,cg00334507
666,cg00335124
667,cg00335286
668,cg00335712
669,cg00336149
670,cg00336376
671,cg00336605
672,cg00336700
673,cg00338702
674,cg00339331
675,cg00340102
676,cg00340127
677,cg00340584
678,cg00340855
679,cg00340958
680,cg00342530
681,cg00343092
682,cg00343633
683,cg00344308
684,cg00344358
685,cg00344372
686,cg00344443
687,cg00344801
688,cg00345314
689,cg00346145
690,cg00346208
691,cg00347729
692,cg00347850
693,cg00347904
694,cg00349404
695,cg00350296
696,cg00350448
697,cg00350478
698,cg00350702
699,cg00351011
700,cg00352417
701,cg00353330
702,cg00353773
703,cg00353923
704,cg00354258
705,cg00354572
706,cg00355019
707,cg00355286
708,cg00355609
709,cg00355802
710,cg00357087
711,cg00357551
712,cg00359325
713,cg00359365
714,cg00360365
715,cg00360761
716,cg00360794
717,cg00362381
718,cg00363813
719,cg00364814
720,cg00364956
721,cg00366037
722,cg00366252
723,cg00367281
724,cg00367438
725,cg00368022
726,cg00368230
727,cg00368415
728,cg00370229
729,cg00371195
730,cg00373436
731,cg00373606
732,cg00374672
733,cg00374717
734,cg00375105
735,cg00375964
736,cg00376544
737,cg00376553
738,cg00376639
739,cg00377681
740,cg00378510
741,cg00379371
742,cg00379720
743,cg00379983
744,cg00380464
745,cg00380985
746,cg00381076
747,cg00382138
748,cg00382515
749,cg00382651
750,cg00382999
751,cg00383167
752,cg00384537
753,cg00384539
754,cg00385142
755,cg00386408
756,cg00387658
757,cg00387940
758,cg00388871
759,cg00389552
760,cg00389785
761,cg00390511
762,cg00390724
763,cg00390775
764,cg00390941
765,cg00391067
766,cg00392257
767,cg00393585
768,cg00394261
769,cg00394658
770,cg00394823
771,cg00395929
772,cg00395990
773,cg00396667
774,cg00396865
775,cg00396894
776,cg00397740
777,cg00398048
778,cg00398420
779,cg00399027
780,cg00399450
781,cg00399483
782,cg00400263
783,cg00400448
784,cg00400733
785,cg00400999
786,cg00401972
787,cg00403478
788,cg00404599
789,cg00405070
790,cg00405112
791,cg00405190
792,cg00405568
793,cg00405677
794,cg00406023
795,cg00406211
796,cg00406460
797,cg00407150
798,cg00407944
799,cg00408231
800,cg00409000
801,cg00409104
802,cg00409126
803,cg00410419
804,cg00410576
805,cg00410831
806,cg00410895
807,cg00410898
808,cg00411097
809,cg00411595
810,cg00412010
811,cg00412772
812,cg00412805
813,cg00412851
814,cg00413066
815,cg00413617
816,cg00414384
817,cg00415333
818,cg00415978
819,cg00415993
820,cg00416689
821,cg00417297
822,cg00417304
823,cg00418150
824,cg00418163
825,cg00419321
826,cg00419564
827,cg00420568
828,cg00420715
829,cg00420929
830,cg00421139
831,cg00421624
832,cg00422488
833,cg00422913
834,cg00423453
835,cg00423486
836,cg00423969
837,cg00424169
838,cg00424946
839,cg00425710
840,cg00425792
841,cg00426056
842,cg00426498
843,cg00426668
844,cg00426963
845,cg00427635
846,cg00428012
847,cg00428382
848,cg00430287
849,cg00430895
850,cg00430945
851,cg00431050
852,cg00431114
853,cg00431187
854,cg00431602
855,cg00431968
856,cg00432953
857,cg00432979
858,cg00433220
859,cg00434010
860,cg00434573
861,cg00435173
862,cg00435408
863,cg00436282
864,cg00436301
865,cg00436603
866,cg00439658
867,cg00441136
868,cg00441382
869,cg00442282
870,cg00442389
871,cg00443981
872,cg00445443
873,cg00446046
874,cg00446123
875,cg00446235
876,cg00446413
877,cg00447208
878,cg00448707
879,cg00448720
880,cg00448875
881,cg00449941
882,cg00450651
883,cg00451635
884,cg00452835
885,cg00452882
886,cg00453193
887,cg00454592
888,cg00455796
889,cg00456216
890,cg00456637
891,cg00458505
892,cg00459043
893,cg00459232
894,cg00459243
895,cg00459975
896,cg00460983
897,cg00461022
898,cg00462311
899,cg00462971
900,cg00462994
901,cg00463202
902,cg00463732
903,cg00463848
904,cg00463859
905,cg00464046
906,cg00464269
907,cg00464927
908,cg00465247
909,cg00465284
910,cg00466249
911,cg00466309
912,cg00466334
913,cg00466492
914,cg00466544
915,cg00468146
916,cg00468395
917,cg00469635
918,cg00469897
919,cg00471371
920,cg00471562
921,cg00472136
922,cg00472373
923,cg00472758
924,cg00472801
925,cg00472814
926,cg00473354
927,cg00474004
928,cg00474209
929,cg00475490
930,cg00475955
931,cg00476243
932,cg00476580
933,cg00476608
934,cg00476617
935,cg00476955
936,cg00478198
937,cg00479269
938,cg00479463
939,cg00480115
940,cg00480209
941,cg00480331
942,cg00480356
943,cg00480389
944,cg00481227
945,cg00481600
946,cg00481644
947,cg00481951
948,cg00481999
949,cg00483030
950,cg00483154
951,cg00483217
952,cg00483562
953,cg00483992
954,cg00484358
955,cg00484711
956,cg00485194
957,cg00485296
958,cg00486143
959,cg00486998
960,cg00487159
961,cg00488364
962,cg00488692
963,cg00488718
964,cg00489401
965,cg00489660
966,cg00491064
967,cg00491255
968,cg00491404
969,cg00491839
970,cg00493400
971,cg00494183
972,cg00495415
973,cg00495442
974,cg00495775
975,cg00495860
976,cg00496170
977,cg00496272
978,cg00497251
979,cg00498211
980,cg00498305
981,cg00498434
982,cg00498604
983,cg00498772
984,cg00498804
985,cg00499237
986,cg00499599
987,cg00499700
988,cg00499822
989,cg00500176
990,cg00500400
991,cg00501366
992,cg00501765
993,cg00501876
994,cg00501919
995,cg00502062
996,cg00502442
997,cg00502926
998,cg00503302
999,cg00503383
1000,cg00503840
1001,cg00504595
1002,cg00504599
1003,cg00505318
1004,cg00506299
1005,cg00508575
1006,cg00509616
1007,cg00509772
1008,cg00510320
1009,cg00510787
1010,cg00510956
1011,cg00511027
1012,cg00511475
1013,cg00512031
1014,cg00512279
1015,cg00512374
1016,cg00512872
1017,cg00513208
1018,cg00513467
1019,cg00513984
1020,cg00514407
1021,cg00514723
1022,cg00515905
1023,cg00516092
1024,cg00516481
1025,cg00517080
1026,cg00517765
1027,cg00517855
1028,cg00518989
1029,cg00519069
1030,cg00519208
1031,cg00519627
1032,cg00520135
1033,cg00521239
1034,cg00521255
1035,cg00521434
1036,cg00521598
1037,cg00522034
1038,cg00522231
1039,cg00522276
1040,cg00522316
1041,cg00522451
1042,cg00524179
1043,cg00524288
1044,cg00524374
1045,cg00524708
1046,cg00524900
1047,cg00525011
1048,cg00525277
1049,cg00525383
1050,cg00525681
1051,cg00526336
1052,cg00527937
1053,cg00528052
1054,cg00528616
1055,cg00528967
1056,cg00529027
1057,cg00529958
1058,cg00530564
1059,cg00531137
1060,cg00532335
1061,cg00532449
1062,cg00532474
1063,cg00532890
1064,cg00533183
1065,cg00533390
1066,cg00533649
1067,cg00534274
1068,cg00534318
1069,cg00534380
1070,cg00534655
1071,cg00536532
1072,cg00536910
1073,cg00536939
1074,cg00537910
1075,cg00538420
1076,cg00539322
1077,cg00539716
1078,cg00540295
1079,cg00540464
1080,cg00540544
1081,cg00541303
1082,cg00541544
1083,cg00541718
1084,cg00542975
1085,cg00544557
1086,cg00545199
1087,cg00545573
1088,cg00546491
1089,cg00546897
1090,cg00547077
1091,cg00547103
1092,cg00547480
1093,cg00547530
1094,cg00547789
1095,cg00547829
1096,cg00548060
1097,cg00548098
1098,cg00548268
1099,cg00548618
1100,cg00549040
1101,cg00549219
1102,cg00549475
1103,cg00549561
1104,cg00549798
1105,cg00550617
1106,cg00550955
1107,cg00551609
1108,cg00551647
1109,cg00552235
1110,cg00552704
1111,cg00553200
1112,cg00554173
1113,cg00554250
1114,cg00554413
1115,cg00554682
1116,cg00554702
1117,cg00554969
1118,cg00555695
1119,cg00556112
1120,cg00557354
1121,cg00558749
1122,cg00560119
1123,cg00562088
1124,cg00562553
1125,cg00563229
1126,cg00563845
1127,cg00563926
1128,cg00563932
1129,cg00564163
1130,cg00565075
1131,cg00565090
1132,cg00565688
1133,cg00565882
1134,cg00566320
1135,cg00566759
1136,cg00567479
1137,cg00567703
1138,cg00567854
1139,cg00568128
1140,cg00568792
1141,cg00569620
1142,cg00569896
1143,cg00570504
1144,cg00571483
1145,cg00571634
1146,cg00573606
1147,cg00573770
1148,cg00574379
1149,cg00574412
1150,cg00574958
1151,cg00575153
1152,cg00575744
1153,cg00575851
1154,cg00576075
1155,cg00576250
1156,cg00576550
1157,cg00577167
1158,cg00577464
1159,cg00579402
1160,cg00579520
1161,cg00580497
1162,cg00581156
1163,cg00581583
1164,cg00582562
1165,cg00582628
1166,cg00582663
1167,cg00582971
1168,cg00583535
1169,cg00583618
1170,cg00583861
1171,cg00584022
1172,cg00584971
1173,cg00585790
1174,cg00585846
1175,cg00587472
1176,cg00587613
1177,cg00588920
1178,cg00589520
1179,cg00589617
1180,cg00590036
1181,cg00591868
1182,cg00592695
1183,cg00593536
1184,cg00593607
1185,cg00594118
1186,cg00594278
1187,cg00594952
1188,cg00596508
1189,cg00597076
1190,cg00597858
1191,cg00598664
1192,cg00598858
1193,cg00599266
1194,cg00599463
1195,cg00600684
1196,cg00601368
1197,cg00601486
1198,cg00601836
1199,cg00602416
1200,cg00602811
1201,cg00602891
1202,cg00603340
1203,cg00603890
1204,cg00604086
1205,cg00604356
1206,cg00604410
1207,cg00604840
1208,cg00605270
1209,cg00605777
1210,cg00607194
1211,cg00608540
1212,cg00609097
1213,cg00609473
1214,cg00609834
1215,cg00610577
1216,cg00611101
1217,cg00611192
1218,cg00611397
1219,cg00611789
1220,cg00612467
1221,cg00613113
1222,cg00613752
1223,cg00614182
1224,cg00615241
1225,cg00615377
1226,cg00615915
1227,cg00616129
1228,cg00616135
1229,cg00616369
1230,cg00617305
1231,cg00618312
1232,cg00618396
1233,cg00619126
1234,cg00619207
1235,cg00619628
1236,cg00620024
1237,cg00620629
1238,cg00622166
1239,cg00622384
1240,cg00622389
1241,cg00622552
1242,cg00622677
1243,cg00622799
1244,cg00623388
1245,cg00623593
1246,cg00625425
1247,cg00625653
1248,cg00626119
1249,cg00626466
1250,cg00629217
1251,cg00630164
1252,cg00630249
1253,cg00630583
1254,cg00631230
1255,cg00632374
1256,cg00633969
1257,cg00634542
1258,cg00634642
1259,cg00635481
1260,cg00635560
1261,cg00636639
1262,cg00636737
1263,cg00637104
1264,cg00637144
1265,cg00637687
1266,cg00637745
1267,cg00638210
1268,cg00639010
1269,cg00639656
1270,cg00640314
1271,cg00641679
1272,cg00642303
1273,cg00642460
1274,cg00642501
1275,cg00643392
1276,cg00644033
1277,cg00644351
1278,cg00644847
1279,cg00645049
1280,cg00645579
1281,cg00645922
1282,cg00646396
1283,cg00646659
1284,cg00647741
1285,cg00648125
1286,cg00648153
1287,cg00648883
1288,cg00650640
1289,cg00650762
1290,cg00650876
1291,cg00651216
1292,cg00651359
1293,cg00651401
1294,cg00652657
1295,cg00653312
1296,cg00653387
1297,cg00653615
1298,cg00654448
1299,cg00654814
1300,cg00654816
1301,cg00655307
1302,cg00655779
1303,cg00657095
1304,cg00657582
1305,cg00658007
1306,cg00658082
1307,cg00658151
1308,cg00658626
1309,cg00659129
1310,cg00659953
1311,cg00660167
1312,cg00660989
1313,cg00661180
1314,cg00661202
1315,cg00661485
1316,cg00661777
1317,cg00662556
1318,cg00663077
1319,cg00663686
1320,cg00663972
1321,cg00664406
1322,cg00664416
1323,cg00664697
1324,cg00664723
1325,cg00665395
1326,cg00666446
1327,cg00666746
1328,cg00667789
1329,cg00668034
1330,cg00668519
1331,cg00668559
1332,cg00668685
1333,cg00669856
1334,cg00670915
1335,cg00671161
1336,cg00671600
1337,cg00672638
1338,cg00672802
1339,cg00673191
1340,cg00674365
1341,cg00674995
1342,cg00675600
1343,cg00675940
1344,cg00676085
1345,cg00676660
1346,cg00676801
1347,cg00677811
1348,cg00678539
1349,cg00679556
1350,cg00679738
1351,cg00679763
1352,cg00680673
1353,cg00682263
1354,cg00682367
1355,cg00682653
1356,cg00684075
1357,cg00685229
1358,cg00685314
1359,cg00685836
1360,cg00686022
1361,cg00686623
1362,cg00686823
1363,cg00686880
1364,cg00686915
1365,cg00687135
1366,cg00687674
1367,cg00687686
1368,cg00688421
1369,cg00688840
1370,cg00688962
1371,cg00689010
1372,cg00689213
1373,cg00689225
1374,cg00689340
1375,cg00689360
1376,cg00690049
1377,cg00690148
1378,cg00690280
1379,cg00690402
1380,cg00691123
1381,cg00691625
1382,cg00691729
1383,cg00692173
1384,cg00692549
1385,cg00692780
1386,cg00694258
1387,cg00695046
1388,cg00695391
1389,cg00695416
1390,cg00697286
1391,cg00697290
1392,cg00697703
1393,cg00698688
1394,cg00698916
1395,cg00699569
1396,cg00699945
1397,cg00699986
1398,cg00699993
1399,cg00700039
1400,cg00701064
1401,cg00701706
1402,cg00701946
1403,cg00702231
1404,cg00702638
1405,cg00704310
1406,cg00704909
1407,cg00705730
1408,cg00706683
1409,cg00706994
1410,cg00707317
1411,cg00708598
1412,cg00708642
1413,cg00710862
1414,cg00711072
1415,cg00711496
1416,cg00711896
1417,cg00711916
1418,cg00712898
1419,cg00713400
1420,cg00714184
1421,cg00714377
1422,cg00714725
1423,cg00714874
1424,cg00717862
1425,cg00718036
1426,cg00718440
1427,cg00718470
1428,cg00718513
1429,cg00718748
1430,cg00719568
1431,cg00719651
1432,cg00719685
1433,cg00720072
1434,cg00720137
1435,cg00720723
1436,cg00722300
1437,cg00723034
1438,cg00723973
1439,cg00723997
1440,cg00724662
1441,cg00725635
1442,cg00725912
1443,cg00727483
1444,cg00727590
1445,cg00728317
1446,cg00728398
1447,cg00728602
1448,cg00729275
1449,cg00729461
1450,cg00729541
1451,cg00729699
1452,cg00729875
1453,cg00730260
1454,cg00730561
1455,cg00733115
1456,cg00733780
1457,cg00734993
1458,cg00735611
1459,cg00735876
1460,cg00735885
1461,cg00735923
1462,cg00736299
1463,cg00736681
1464,cg00737514
1465,cg00737593
1466,cg00737979
1467,cg00739120
1468,cg00739778
1469,cg00741609
1470,cg00741624
1471,cg00741836
1472,cg00741986
1473,cg00743068
1474,cg00743094
1475,cg00743372
1476,cg00744433
1477,cg00744866
1478,cg00745293
1479,cg00745543
1480,cg00745735
1481,cg00746083
1482,cg00746981
1483,cg00747849
1484,cg00748072
1485,cg00748195
1486,cg00748373
1487,cg00748432
1488,cg00748494
1489,cg00748589
1490,cg00748718
1491,cg00749672
1492,cg00750366
1493,cg00750606
1494,cg00750917
1495,cg00751288
1496,cg00751332
1497,cg00752874
1498,cg00752969
1499,cg00753676
1500,cg00754253
1501,cg00754357
1502,cg00754617
1503,cg00755043
1504,cg00756058
1505,cg00756887
1506,cg00757070
1507,cg00757952
1508,cg00759807
1509,cg00760203
1510,cg00760729
1511,cg00760950
1512,cg00761125
1513,cg00761755
1514,cg00763679
1515,cg00763725
1516,cg00763889
1517,cg00764612
1518,cg00765705
1519,cg00765885
1520,cg00766729
1521,cg00766889
1522,cg00767581
1523,cg00768487
1524,cg00769470
1525,cg00769520
1526,cg00769799
1527,cg00770279
1528,cg00770871
1529,cg00771722
1530,cg00772000
1531,cg00772407
1532,cg00774102
1533,cg00775115
1534,cg00775197
1535,cg00776430
1536,cg00777445
1537,cg00777555
1538,cg00777627
1539,cg00778190
1540,cg00778920
1541,cg00779056
1542,cg00779763
1543,cg00779924
1544,cg00780520
1545,cg00781658
1546,cg00781978
1547,cg00782174
1548,cg00782200
1549,cg00782708
1550,cg00782811
1551,cg00782854
1552,cg00783759
1553,cg00784357
1554,cg00785482
1555,cg00785877
1556,cg00787015
1557,cg00790071
1558,cg00790086
1559,cg00791181
1560,cg00791190
1561,cg00791249
1562,cg00791321
1563,cg00791854
1564,cg00792107
1565,cg00792251
1566,cg00792687
1567,cg00792740
1568,cg00792849
1569,cg00792968
1570,cg00793186
1571,cg00793648
1572,cg00793774
1573,cg00794673
1574,cg00794911
1575,cg00795268
1576,cg00795341
1577,cg00795812
1578,cg00796728
1579,cg00797104
1580,cg00798206
1581,cg00799984
1582,cg00800512
1583,cg00804048
1584,cg00804078
1585,cg00804338
1586,cg00804354
1587,cg00804392
1588,cg00804587
1589,cg00804628
1590,cg00805116
1591,cg00806138
1592,cg00806481
1593,cg00806490
1594,cg00806644
1595,cg00807586
1596,cg00808170
1597,cg00808492
1598,cg00808648
1599,cg00808969
1600,cg00809164
1601,cg00809820
1602,cg00810473
1603,cg00810495
1604,cg00810519
1605,cg00810883
1606,cg00812502
1607,cg00812557
1608,cg00812761
1609,cg00812770
1610,cg00812833
1611,cg00813142
1612,cg00813156
1613,cg00813378
1614,cg00813999
1615,cg00814580
1616,cg00815325
1617,cg00815440
1618,cg00815583
1619,cg00816548
1620,cg00816609
1621,cg00817367
1622,cg00817377
1623,cg00818106
1624,cg00818649
1625,cg00818872
1626,cg00819310
1627,cg00819362
1628,cg00819696
1629,cg00820637
1630,cg00821310
1631,cg00821731
1632,cg00822607
1633,cg00823148
1634,cg00823357
1635,cg00824018
1636,cg00824109
1637,cg00827369
1638,cg00827895
1639,cg00828556
1640,cg00828602
1641,cg00828762
1642,cg00829575
1643,cg00830029
1644,cg00830393
1645,cg00830621
1646,cg00831028
1647,cg00832270
1648,cg00832517
1649,cg00833393
1650,cg00833777
1651,cg00834229
1652,cg00834922
1653,cg00834923
1654,cg00834958
1655,cg00834988
1656,cg00835193
1657,cg00835825
1658,cg00836605
1659,cg00837103
1660,cg00838150
1661,cg00839579
1662,cg00839584
1663,cg00839802
