GSM3994806|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994807|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994808|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994809|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994810|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994811|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994812|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|case|GSK862_day4|GSK3685032|Small Molecule
GSM3994813|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|case|GSK477_day4|GSK3685032|Small Molecule
GSM3994814|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|ctrl|DMSO_day6|DMSO|None
GSM3994815|N/A|N/A|N/A|N/A|N/A|N/A|N/A|THP1|in_vitro|case|GSK032_day6|GSK3685032|Small Molecule
GSM3994816|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|ctrl|DMSO_day1|DMSO|None
GSM3994817|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|case|GSK032_day1|GSK3685032|Small Molecule
GSM3994818|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|ctrl|DMSO_day2|DMSO|None
GSM3994819|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|case|GSK032_day2|GSK3685032|Small Molecule
GSM3994820|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|case|GSK862_day2|GSK3685032|Small Molecule
GSM3994821|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|case|GSK477_day2|GSK3685032|Small Molecule
GSM3994822|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|ctrl|DMSO_day4|DMSO|None
GSM3994823|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994824|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994825|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994826|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994827|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994828|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|case|GSK032_day4|GSK3685032|Small Molecule
GSM3994829|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|case|GSK862_day4|GSK3685032|Small Molecule
GSM3994830|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|case|GSK477_day4|GSK3685032|Small Molecule
GSM3994831|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|ctrl|DMSO_day6|DMSO|None
GSM3994832|N/A|N/A|N/A|N/A|N/A|N/A|N/A|NOMO1|in_vitro|case|GSK032_day6|GSK3685032|Small Molecule
